ID	Species	Petal.Length
ID_1	setosa	1.4
ID_2	setosa	1.4
ID_3	setosa	1.3
ID_4	setosa	1.5
ID_5	setosa	1.4
ID_6	setosa	1.7
ID_7	setosa	1.4
ID_8	setosa	1.5
ID_9	setosa	1.4
ID_10	setosa	1.5
ID_11	setosa	1.5
ID_12	setosa	1.6
ID_13	setosa	1.4
ID_14	setosa	1.1
ID_15	setosa	1.2
ID_16	setosa	1.5
ID_17	setosa	1.3
ID_18	setosa	1.4
ID_19	setosa	1.7
ID_20	setosa	1.5
ID_21	setosa	1.7
ID_22	setosa	1.5
ID_23	setosa	1
ID_24	setosa	1.7
ID_25	setosa	1.9
ID_26	setosa	1.6
ID_27	setosa	1.6
ID_28	setosa	1.5
ID_29	setosa	1.4
ID_30	setosa	1.6
ID_31	setosa	1.6
ID_32	setosa	1.5
ID_33	setosa	1.5
ID_34	setosa	1.4
ID_35	setosa	1.5
ID_36	setosa	1.2
ID_37	setosa	1.3
ID_38	setosa	1.4
ID_39	setosa	1.3
ID_40	setosa	1.5
ID_41	setosa	1.3
ID_42	setosa	1.3
ID_43	setosa	1.3
ID_44	setosa	1.6
ID_45	setosa	1.9
ID_46	setosa	1.4
ID_47	setosa	1.6
ID_48	setosa	1.4
ID_49	setosa	1.5
ID_50	setosa	1.4
ID_51	versicolor	4.7
ID_52	versicolor	4.5
ID_53	versicolor	4.9
ID_54	versicolor	4
ID_55	versicolor	4.6
ID_56	versicolor	4.5
ID_57	versicolor	4.7
ID_58	versicolor	3.3
ID_59	versicolor	4.6
ID_60	versicolor	3.9
ID_61	versicolor	3.5
ID_62	versicolor	4.2
ID_63	versicolor	4
ID_64	versicolor	4.7
ID_65	versicolor	3.6
ID_66	versicolor	4.4
ID_67	versicolor	4.5
ID_68	versicolor	4.1
ID_69	versicolor	4.5
ID_70	versicolor	3.9
ID_71	versicolor	4.8
ID_72	versicolor	4
ID_73	versicolor	4.9
ID_74	versicolor	4.7
ID_75	versicolor	4.3
ID_76	versicolor	4.4
ID_77	versicolor	4.8
ID_78	versicolor	5
ID_79	versicolor	4.5
ID_80	versicolor	3.5
ID_81	versicolor	3.8
ID_82	versicolor	3.7
ID_83	versicolor	3.9
ID_84	versicolor	5.1
ID_85	versicolor	4.5
ID_86	versicolor	4.5
ID_87	versicolor	4.7
ID_88	versicolor	4.4
ID_89	versicolor	4.1
ID_90	versicolor	4
ID_91	versicolor	4.4
ID_92	versicolor	4.6
ID_93	versicolor	4
ID_94	versicolor	3.3
ID_95	versicolor	4.2
ID_96	versicolor	4.2
ID_97	versicolor	4.2
ID_98	versicolor	4.3
ID_99	versicolor	3
ID_100	versicolor	4.1
ID_101	virginica	6
ID_102	virginica	5.1
ID_103	virginica	5.9
ID_104	virginica	5.6
ID_105	virginica	5.8
ID_106	virginica	6.6
ID_107	virginica	4.5
ID_108	virginica	6.3
ID_109	virginica	5.8
ID_110	virginica	6.1
ID_111	virginica	5.1
ID_112	virginica	5.3
ID_113	virginica	5.5
ID_114	virginica	5
ID_115	virginica	5.1
ID_116	virginica	5.3
ID_117	virginica	5.5
ID_118	virginica	6.7
ID_119	virginica	6.9
ID_120	virginica	5
ID_121	virginica	5.7
ID_122	virginica	4.9
ID_123	virginica	6.7
ID_124	virginica	4.9
ID_125	virginica	5.7
ID_126	virginica	6
ID_127	virginica	4.8
ID_128	virginica	4.9
ID_129	virginica	5.6
ID_130	virginica	5.8
ID_131	virginica	6.1
ID_132	virginica	6.4
ID_133	virginica	5.6
ID_134	virginica	5.1
ID_135	virginica	5.6
ID_136	virginica	6.1
ID_137	virginica	5.6
ID_138	virginica	5.5
ID_139	virginica	4.8
ID_140	virginica	5.4
ID_141	virginica	5.6
ID_142	virginica	5.1
ID_143	virginica	5.1
ID_144	virginica	5.9
ID_145	virginica	5.7
ID_146	virginica	5.2
ID_147	virginica	5
ID_148	virginica	5.2
ID_149	virginica	5.4
ID_150	virginica	5.1
