ID	Species	Petal.Width
ID_1	setosa	0.2
ID_2	setosa	0.2
ID_3	setosa	0.2
ID_4	setosa	0.2
ID_5	setosa	0.2
ID_6	setosa	0.4
ID_7	setosa	0.3
ID_8	setosa	0.2
ID_9	setosa	0.2
ID_10	setosa	0.1
ID_11	setosa	0.2
ID_12	setosa	0.2
ID_13	setosa	0.1
ID_14	setosa	0.1
ID_15	setosa	0.2
ID_16	setosa	0.4
ID_17	setosa	0.4
ID_18	setosa	0.3
ID_19	setosa	0.3
ID_20	setosa	0.3
ID_21	setosa	0.2
ID_22	setosa	0.4
ID_23	setosa	0.2
ID_24	setosa	0.5
ID_25	setosa	0.2
ID_26	setosa	0.2
ID_27	setosa	0.4
ID_28	setosa	0.2
ID_29	setosa	0.2
ID_30	setosa	0.2
ID_31	setosa	0.2
ID_32	setosa	0.4
ID_33	setosa	0.1
ID_34	setosa	0.2
ID_35	setosa	0.2
ID_36	setosa	0.2
ID_37	setosa	0.2
ID_38	setosa	0.1
ID_39	setosa	0.2
ID_40	setosa	0.2
ID_41	setosa	0.3
ID_42	setosa	0.3
ID_43	setosa	0.2
ID_44	setosa	0.6
ID_45	setosa	0.4
ID_46	setosa	0.3
ID_47	setosa	0.2
ID_48	setosa	0.2
ID_49	setosa	0.2
ID_50	setosa	0.2
ID_51	versicolor	1.4
ID_52	versicolor	1.5
ID_53	versicolor	1.5
ID_54	versicolor	1.3
ID_55	versicolor	1.5
ID_56	versicolor	1.3
ID_57	versicolor	1.6
ID_58	versicolor	1
ID_59	versicolor	1.3
ID_60	versicolor	1.4
ID_61	versicolor	1
ID_62	versicolor	1.5
ID_63	versicolor	1
ID_64	versicolor	1.4
ID_65	versicolor	1.3
ID_66	versicolor	1.4
ID_67	versicolor	1.5
ID_68	versicolor	1
ID_69	versicolor	1.5
ID_70	versicolor	1.1
ID_71	versicolor	1.8
ID_72	versicolor	1.3
ID_73	versicolor	1.5
ID_74	versicolor	1.2
ID_75	versicolor	1.3
ID_76	versicolor	1.4
ID_77	versicolor	1.4
ID_78	versicolor	1.7
ID_79	versicolor	1.5
ID_80	versicolor	1
ID_81	versicolor	1.1
ID_82	versicolor	1
ID_83	versicolor	1.2
ID_84	versicolor	1.6
ID_85	versicolor	1.5
ID_86	versicolor	1.6
ID_87	versicolor	1.5
ID_88	versicolor	1.3
ID_89	versicolor	1.3
ID_90	versicolor	1.3
ID_91	versicolor	1.2
ID_92	versicolor	1.4
ID_93	versicolor	1.2
ID_94	versicolor	1
ID_95	versicolor	1.3
ID_96	versicolor	1.2
ID_97	versicolor	1.3
ID_98	versicolor	1.3
ID_99	versicolor	1.1
ID_100	versicolor	1.3
ID_101	virginica	2.5
ID_102	virginica	1.9
ID_103	virginica	2.1
ID_104	virginica	1.8
ID_105	virginica	2.2
ID_106	virginica	2.1
ID_107	virginica	1.7
ID_108	virginica	1.8
ID_109	virginica	1.8
ID_110	virginica	2.5
ID_111	virginica	2
ID_112	virginica	1.9
ID_113	virginica	2.1
ID_114	virginica	2
ID_115	virginica	2.4
ID_116	virginica	2.3
ID_117	virginica	1.8
ID_118	virginica	2.2
ID_119	virginica	2.3
ID_120	virginica	1.5
ID_121	virginica	2.3
ID_122	virginica	2
ID_123	virginica	2
ID_124	virginica	1.8
ID_125	virginica	2.1
ID_126	virginica	1.8
ID_127	virginica	1.8
ID_128	virginica	1.8
ID_129	virginica	2.1
ID_130	virginica	1.6
ID_131	virginica	1.9
ID_132	virginica	2
ID_133	virginica	2.2
ID_134	virginica	1.5
ID_135	virginica	1.4
ID_136	virginica	2.3
ID_137	virginica	2.4
ID_138	virginica	1.8
ID_139	virginica	1.8
ID_140	virginica	2.1
ID_141	virginica	2.4
ID_142	virginica	2.3
ID_143	virginica	1.9
ID_144	virginica	2.3
ID_145	virginica	2.5
ID_146	virginica	2.3
ID_147	virginica	1.9
ID_148	virginica	2
ID_149	virginica	2.3
ID_150	virginica	1.8
