ID	Species.x	Petal.Length	Petal.Width	Sepal.Length	Sepal.Width
ID_1	setosa	1.4	0.2	5.1	3.5
ID_10	setosa	1.5	0.1	4.9	3.1
ID_100	versicolor	4.1	1.3	5.7	2.8
ID_101	virginica	6	2.5	6.3	3.3
ID_102	virginica	5.1	1.9	5.8	2.7
ID_103	virginica	5.9	2.1	7.1	3
ID_104	virginica	5.6	1.8	6.3	2.9
ID_105	virginica	5.8	2.2	6.5	3
ID_106	virginica	6.6	2.1	7.6	3
ID_107	virginica	4.5	1.7	4.9	2.5
ID_108	virginica	6.3	1.8	7.3	2.9
ID_109	virginica	5.8	1.8	6.7	2.5
ID_11	setosa	1.5	0.2	5.4	3.7
ID_110	virginica	6.1	2.5	7.2	3.6
ID_111	virginica	5.1	2	6.5	3.2
ID_112	virginica	5.3	1.9	6.4	2.7
ID_113	virginica	5.5	2.1	6.8	3
ID_114	virginica	5	2	5.7	2.5
ID_115	virginica	5.1	2.4	5.8	2.8
ID_116	virginica	5.3	2.3	6.4	3.2
ID_117	virginica	5.5	1.8	6.5	3
ID_118	virginica	6.7	2.2	7.7	3.8
ID_119	virginica	6.9	2.3	7.7	2.6
ID_12	setosa	1.6	0.2	4.8	3.4
ID_120	virginica	5	1.5	6	2.2
ID_121	virginica	5.7	2.3	6.9	3.2
ID_122	virginica	4.9	2	5.6	2.8
ID_123	virginica	6.7	2	7.7	2.8
ID_124	virginica	4.9	1.8	6.3	2.7
ID_125	virginica	5.7	2.1	6.7	3.3
ID_126	virginica	6	1.8	7.2	3.2
ID_127	virginica	4.8	1.8	6.2	2.8
ID_128	virginica	4.9	1.8	6.1	3
ID_129	virginica	5.6	2.1	6.4	2.8
ID_13	setosa	1.4	0.1	4.8	3
ID_130	virginica	5.8	1.6	7.2	3
ID_131	virginica	6.1	1.9	7.4	2.8
ID_132	virginica	6.4	2	7.9	3.8
ID_133	virginica	5.6	2.2	6.4	2.8
ID_134	virginica	5.1	1.5	6.3	2.8
ID_135	virginica	5.6	1.4	6.1	2.6
ID_136	virginica	6.1	2.3	7.7	3
ID_137	virginica	5.6	2.4	6.3	3.4
ID_138	virginica	5.5	1.8	6.4	3.1
ID_139	virginica	4.8	1.8	6	3
ID_14	setosa	1.1	0.1	4.3	3
ID_140	virginica	5.4	2.1	6.9	3.1
ID_141	virginica	5.6	2.4	6.7	3.1
ID_142	virginica	5.1	2.3	6.9	3.1
ID_143	virginica	5.1	1.9	5.8	2.7
ID_144	virginica	5.9	2.3	6.8	3.2
ID_145	virginica	5.7	2.5	6.7	3.3
ID_146	virginica	5.2	2.3	6.7	3
ID_147	virginica	5	1.9	6.3	2.5
ID_148	virginica	5.2	2	6.5	3
ID_149	virginica	5.4	2.3	6.2	3.4
ID_15	setosa	1.2	0.2	5.8	4
ID_150	virginica	5.1	1.8	5.9	3
ID_16	setosa	1.5	0.4	5.7	4.4
ID_17	setosa	1.3	0.4	5.4	3.9
ID_18	setosa	1.4	0.3	5.1	3.5
ID_19	setosa	1.7	0.3	5.7	3.8
ID_2	setosa	1.4	0.2	4.9	3
